#,Jugadores,F. Nacim./Edad,Nac.,Valor de mercado,Valor de mercado Num
16.0,Mike Maignan Portero,03/07/1995 (29),,"25,00 mill. €",25000000.0
57.0,Marco Sportiello Portero,10/05/1992 (33),,"1,50 mill. €",1500000.0
96.0,Lorenzo Torriani Portero,31/01/2005 (20),,500 mil €,500000.0
23.0,Fikayo Tomori Defensa central,19/12/1997 (27),,"20,00 mill. €",20000000.0
28.0,Malick Thiaw Defensa central,08/08/2001 (23),,"20,00 mill. €",20000000.0
31.0,Strahinja Pavlović Defensa central,24/05/2001 (24),,"18,00 mill. €",18000000.0
46.0,Matteo Gabbia Defensa central,21/10/1999 (25),,"14,00 mill. €",14000000.0
19.0,Theo Hernández Lateral izquierdo,06/10/1997 (27),,"40,00 mill. €",40000000.0
20.0,Álex Jiménez Lateral derecho,08/05/2005 (20),,"10,00 mill. €",10000000.0
22.0,Emerson Royal Lateral derecho,14/01/1999 (26),,"10,00 mill. €",10000000.0
32.0,Kyle Walker Lateral derecho,28/05/1990 (34),,"6,00 mill. €",6000000.0
42.0,Filippo Terracciano Lateral derecho,08/02/2003 (22),,"4,50 mill. €",4500000.0
24.0,Alessandro Florenzi Lateral derecho,11/03/1991 (34),,"1,50 mill. €",1500000.0
29.0,Youssouf Fofana Pivote,10/01/1999 (26),,"30,00 mill. €",30000000.0
14.0,Tijjani Reijnders Mediocentro,29/07/1998 (26),,"50,00 mill. €",50000000.0
80.0,Yunus Musah Mediocentro,29/11/2002 (22),,"22,00 mill. €",22000000.0
8.0,Ruben Loftus-Cheek Mediocentro,23/01/1996 (29),,"16,00 mill. €",16000000.0
38.0,Warren Bondo Mediocentro,15/09/2003 (21),,"10,00 mill. €",10000000.0
10.0,Rafael Leão Extremo izquierdo,10/06/1999 (25),,"75,00 mill. €",75000000.0
99.0,Riccardo Sottil Extremo izquierdo,03/06/1999 (25),,"6,00 mill. €",6000000.0
11.0,Christian Pulisic Extremo derecho,18/09/1998 (26),,"50,00 mill. €",50000000.0
21.0,Samuel Chukwueze Extremo derecho,22/05/1999 (26),,"14,00 mill. €",14000000.0
79.0,João Félix Mediapunta,10/11/1999 (25),,"25,00 mill. €",25000000.0
7.0,Santiago Gimenez Delantero centro,18/04/2001 (24),,"37,00 mill. €",37000000.0
90.0,Tammy Abraham Delantero centro,02/10/1997 (27),,"15,00 mill. €",15000000.0
9.0,Luka Jović Delantero centro,23/12/1997 (27),,"2,50 mill. €",2500000.0
