#,Jugadores,F. Nacim./Edad,Nac.,Valor de mercado,Valor de mercado Num
30.0,Stefano Turati Portero,05/09/2001 (23),,"7,50 mill. €",7500000.0
21.0,Semuel Pizzignacco Portero,01/09/2001 (23),,800 mil €,800000.0
69.0,Andrea Mazza Portero,19/03/2004 (21),,75 mil €,75000.0
22.0,Tomás Palacios Defensa central,28/04/2003 (22),,"5,00 mill. €",5000000.0
44.0,Andrea Carboni Defensa central,04/02/2001 (24),,"3,40 mill. €",3400000.0
4.0,Armando Izzo Defensa central,02/03/1992 (33),,"2,50 mill. €",2500000.0
3.0,Stefan Leković Defensa central,09/01/2004 (21),,"1,80 mill. €",1800000.0
5.0,Luca Caldirola Defensa central,01/02/1991 (34),,800 mil €,800000.0
33.0,Danilo D'Ambrosio Defensa central,09/09/1988 (36),,800 mil €,800000.0
2.0,Arvid Brorsson Defensa central,08/05/1999 (26),,600 mil €,600000.0
19.0,Samuele Birindelli Lateral derecho,19/07/1999 (25),,"3,00 mill. €",3000000.0
13.0,Pedro Pereira Lateral derecho,22/01/1998 (27),,"1,80 mill. €",1800000.0
4.0,Leonardo Colombo Pivote,04/06/2005 (19),,250 mil €,250000.0
32.0,Matteo Pessina Mediocentro,21/04/1997 (28),,"9,00 mill. €",9000000.0
8.0,Kacper Urbanski Mediocentro,07/09/2004 (20),,"7,00 mill. €",7000000.0
42.0,Alessandro Bianco Mediocentro,01/10/2002 (22),,"5,00 mill. €",5000000.0
11.0,Gaetano Castrovilli Mediocentro,17/02/1997 (28),,"3,50 mill. €",3500000.0
18.0,Kevin Zeroli Mediocentro,11/01/2005 (20),,"3,50 mill. €",3500000.0
6.0,Roberto Gagliardini Mediocentro,07/04/1994 (31),,"2,00 mill. €",2000000.0
12.0,Stefano Sensi Mediocentro,05/08/1995 (29),,"1,50 mill. €",1500000.0
7.0,Jean-Daniel Akpa Akpro Mediocentro,11/10/1992 (32),,500 mil €,500000.0
84.0,Patrick Ciurria Interior derecho,09/02/1995 (30),,"3,00 mill. €",3000000.0
77.0,Georgios Kyriakopoulos Interior izquierdo,05/02/1996 (29),,"3,50 mill. €",3500000.0
80.0,Samuele Vignato Mediocentro ofensivo,24/02/2004 (21),,"3,50 mill. €",3500000.0
17.0,Keita Baldé Extremo izquierdo,08/03/1995 (30),,"1,00 mill. €",1000000.0
20.0,Omari Forson Extremo derecho,20/07/2004 (20),,"2,00 mill. €",2000000.0
55.0,Kevin Martins Extremo derecho,31/01/2005 (20),,"1,50 mill. €",1500000.0
47.0,Dany Mota Mediapunta,02/05/1998 (27),,"5,00 mill. €",5000000.0
10.0,Gianluca Caprari Mediapunta,30/07/1993 (31),,"1,50 mill. €",1500000.0
35.0,Silvere Ganvoula Delantero centro,29/06/1996 (28),,"2,00 mill. €",2000000.0
37.0,Andrea Petagna Delantero centro,30/06/1995 (29),,"1,40 mill. €",1400000.0
