#,Jugadores,F. Nacim./Edad,Nac.,Valor de mercado,Valor de mercado Num
43.0,David de Gea Portero,07/11/1990 (34),,"5,00 mill. €",5000000.0
30.0,Tommaso Martinelli Portero,06/01/2006 (19),,"1,80 mill. €",1800000.0
1.0,Pietro Terracciano Portero,08/03/1990 (35),,"1,50 mill. €",1500000.0
15.0,Pietro Comuzzo Defensa central,20/02/2005 (20),,"25,00 mill. €",25000000.0
6.0,Luca Ranieri Defensa central,23/04/1999 (26),,"12,00 mill. €",12000000.0
5.0,Marin Pongračić Defensa central,11/09/1997 (27),,"10,00 mill. €",10000000.0
22.0,Matías Moreno Defensa central,24/09/2003 (21),,"4,00 mill. €",4000000.0
18.0,Pablo Marí Defensa central,31/08/1993 (31),,"3,50 mill. €",3500000.0
21.0,Robin Gosens Lateral izquierdo,05/07/1994 (30),,"8,00 mill. €",8000000.0
65.0,Fabiano Parisi Lateral izquierdo,09/11/2000 (24),,"5,00 mill. €",5000000.0
2.0,Dodô Lateral derecho,17/11/1998 (26),,"22,00 mill. €",22000000.0
29.0,Yacine Adli Pivote,29/07/2000 (24),,"15,00 mill. €",15000000.0
8.0,Rolando Mandragora Pivote,29/06/1997 (27),,"10,00 mill. €",10000000.0
32.0,Danilo Cataldi Pivote,06/08/1994 (30),,"4,00 mill. €",4000000.0
44.0,Nicolò Fagioli Mediocentro,12/02/2001 (24),,"18,00 mill. €",18000000.0
24.0,Amir Richardson Mediocentro,24/01/2002 (23),,"9,00 mill. €",9000000.0
90.0,Michael Folorunsho Mediocentro,07/02/1998 (27),,"7,00 mill. €",7000000.0
4.0,Edoardo Bove Mediocentro,16/05/2002 (23),,"5,00 mill. €",5000000.0
27.0,Cher Ndour Mediocentro,27/07/2004 (20),,"5,00 mill. €",5000000.0
9.0,Lucas Beltrán Mediocentro ofensivo,29/03/2001 (24),,"18,00 mill. €",18000000.0
17.0,Nicolò Zaniolo Mediocentro ofensivo,02/07/1999 (25),,"16,00 mill. €",16000000.0
23.0,Andrea Colpani Mediocentro ofensivo,11/05/1999 (26),,"12,00 mill. €",12000000.0
63.0,Maat Daniel Caprini Extremo izquierdo,11/02/2006 (19),,"2,00 mill. €",2000000.0
10.0,Albert Gudmundsson Mediapunta,15/06/1997 (27),,"23,00 mill. €",23000000.0
20.0,Moise Kean Delantero centro,28/02/2000 (25),,"40,00 mill. €",40000000.0
