#,Jugadores,F. Nacim./Edad,Nac.,Valor de mercado,Valor de mercado Num
29.0,Marco Carnesecchi Portero,01/07/2000 (24),,"25,00 mill. €",25000000.0
28.0,Rui Patrício Portero,15/02/1988 (37),,"1,00 mill. €",1000000.0
31.0,Francesco Rossi Portero,27/04/1991 (34),,100 mil €,100000.0
42.0,Giorgio Scalvini Defensa central,11/12/2003 (21),,"35,00 mill. €",35000000.0
4.0,Isak Hien Defensa central,13/01/1999 (26),,"30,00 mill. €",30000000.0
3.0,Odilon Kossounou Defensa central,04/01/2001 (24),,"25,00 mill. €",25000000.0
5.0,Stefan Posch Defensa central,14/05/1997 (28),,"10,00 mill. €",10000000.0
23.0,Sead Kolasinac Defensa central,20/06/1993 (31),,"10,00 mill. €",10000000.0
19.0,Berat Djimsiti Defensa central,19/02/1993 (32),,"8,00 mill. €",8000000.0
2.0,Rafael Tolói Defensa central,10/10/1990 (34),,"1,50 mill. €",1500000.0
15.0,Marten de Roon Pivote,29/03/1991 (34),,"7,00 mill. €",7000000.0
6.0,Ibrahim Sulemana Pivote,22/05/2003 (22),,"6,00 mill. €",6000000.0
13.0,Éderson Mediocentro,07/07/1999 (25),,"50,00 mill. €",50000000.0
24.0,Lazar Samardžić Mediocentro,24/02/2002 (23),,"20,00 mill. €",20000000.0
8.0,Mario Pasalic Mediocentro,09/02/1995 (30),,"13,00 mill. €",13000000.0
44.0,Marco Brescianini Mediocentro,20/01/2000 (25),,"8,00 mill. €",8000000.0
16.0,Raoul Bellanova Interior derecho,17/05/2000 (25),,"22,00 mill. €",22000000.0
77.0,Davide Zappacosta Interior derecho,11/06/1992 (32),,"6,00 mill. €",6000000.0
27.0,Marco Palestra Interior derecho,03/03/2005 (20),,"3,00 mill. €",3000000.0
7.0,Juan Cuadrado Interior derecho,26/05/1988 (36),,"1,00 mill. €",1000000.0
22.0,Matteo Ruggeri Interior izquierdo,11/07/2002 (22),,"20,00 mill. €",20000000.0
17.0,Charles De Ketelaere Mediocentro ofensivo,10/03/2001 (24),,"38,00 mill. €",38000000.0
70.0,Daniel Maldini Mediocentro ofensivo,11/10/2001 (23),,"10,00 mill. €",10000000.0
11.0,Ademola Lookman Mediapunta,20/10/1997 (27),,"60,00 mill. €",60000000.0
32.0,Mateo Retegui Delantero centro,29/04/1999 (26),,"45,00 mill. €",45000000.0
9.0,Gianluca Scamacca Delantero centro,01/01/1999 (26),,"24,00 mill. €",24000000.0
