#,Jugadores,F. Nacim./Edad,Nac.,Valor de mercado,Valor de mercado Num
1,Lukasz Skorupski Portero,05/05/1991 (34),,"2,50 mill. €",2500000.0
34,Federico Ravaglia Portero,11/11/1999 (25),,"1,00 mill. €",1000000.0
23,Nicola Bagnolini Portero,14/03/2004 (21),,200 mil €,200000.0
31,Sam Beukema Defensa central,17/11/1998 (26),,"25,00 mill. €",25000000.0
26,Jhon Lucumí Defensa central,26/06/1998 (26),,"18,00 mill. €",18000000.0
15,Nicolò Casale Defensa central,14/02/1998 (27),,"7,00 mill. €",7000000.0
5,Martin Erlić Defensa central,24/01/1998 (27),,"5,00 mill. €",5000000.0
33,Juan Miranda Lateral izquierdo,19/01/2000 (25),,"11,00 mill. €",11000000.0
22,Charalampos Lykogiannis Lateral izquierdo,22/10/1993 (31),,"1,50 mill. €",1500000.0
2,Emil Holm Lateral derecho,13/05/2000 (25),,"8,00 mill. €",8000000.0
14,Davide Calabria Lateral derecho,06/12/1996 (28),,"7,50 mill. €",7500000.0
29,Lorenzo De Silvestri Lateral derecho,23/05/1988 (37),,400 mil €,400000.0
6,Nikola Moro Pivote,12/03/1998 (27),,"5,00 mill. €",5000000.0
17,Oussama El Azzouzi Pivote,29/05/2001 (23),,"2,00 mill. €",2000000.0
19,Lewis Ferguson Mediocentro,24/08/1999 (25),,"24,00 mill. €",24000000.0
18,Tommaso Pobega Mediocentro,15/07/1999 (25),,"10,00 mill. €",10000000.0
20,Michel Aebischer Mediocentro,06/01/1997 (28),,"10,00 mill. €",10000000.0
8,Remo Freuler Mediocentro,15/04/1992 (33),,"6,50 mill. €",6500000.0
-,Andri Fannar Baldursson Mediocentro,10/01/2002 (23),,900 mil €,900000.0
80,Giovanni Fabbian Mediocentro ofensivo,14/01/2003 (22),,"13,00 mill. €",13000000.0
21,Jens Odgaard Mediocentro ofensivo,31/03/1999 (26),,"12,00 mill. €",12000000.0
30,Benja Domínguez Extremo izquierdo,19/09/2003 (21),,"15,00 mill. €",15000000.0
28,Nicolò Cambiaghi Extremo izquierdo,28/12/2000 (24),,"7,00 mill. €",7000000.0
39,Estanis Pedrola Extremo izquierdo,24/08/2003 (21),,"1,80 mill. €",1800000.0
11,Dan Ndoye Extremo derecho,25/10/2000 (24),,"25,00 mill. €",25000000.0
7,Riccardo Orsolini Extremo derecho,24/01/1997 (28),,"20,00 mill. €",20000000.0
9,Santiago Castro Delantero centro,18/09/2004 (20),,"35,00 mill. €",35000000.0
24,Thijs Dallinga Delantero centro,03/08/2000 (24),,"12,00 mill. €",12000000.0
