#,Jugadores,F. Nacim./Edad,Nac.,Valor de mercado,Valor de mercado Num
25.0,Elia Caprile Portero,25/08/2001 (23),,"8,00 mill. €",8000000.0
71.0,Alen Sherri Portero,15/12/1997 (27),,"1,00 mill. €",1000000.0
1.0,Giuseppe Ciocci Portero,24/01/2002 (23),,100 mil €,100000.0
6.0,Sebastiano Luperto Defensa central,06/09/1996 (28),,"3,50 mill. €",3500000.0
26.0,Yerry Mina Defensa central,23/09/1994 (30),,"3,00 mill. €",3000000.0
33.0,Adam Obert Defensa central,23/08/2002 (22),,"3,00 mill. €",3000000.0
24.0,José Luis Palomino Defensa central,05/01/1990 (35),,700 mil €,700000.0
3.0,Tommaso Augello Lateral izquierdo,30/08/1994 (30),,"1,80 mill. €",1800000.0
28.0,Gabriele Zappa Lateral derecho,22/12/1999 (25),,"4,00 mill. €",4000000.0
16.0,Matteo Prati Pivote,28/12/2003 (21),,"7,00 mill. €",7000000.0
29.0,Antoine Makoumbou Pivote,18/07/1998 (26),,"4,00 mill. €",4000000.0
18.0,Răzvan Marin Pivote,23/05/1996 (29),,"3,50 mill. €",3500000.0
8.0,Michel Adopo Mediocentro,19/07/2000 (24),,"3,00 mill. €",3000000.0
14.0,Alessandro Deiola Mediocentro,01/08/1995 (29),,"1,60 mill. €",1600000.0
19.0,Nadir Zortea Interior derecho,19/06/1999 (25),,"4,50 mill. €",4500000.0
21.0,Jakub Jankto Interior izquierdo,19/01/1996 (29),,"1,00 mill. €",1000000.0
70.0,Gianluca Gaetano Mediocentro ofensivo,05/05/2000 (25),,"4,00 mill. €",4000000.0
10.0,Nicolas Viola Mediocentro ofensivo,12/10/1989 (35),,"1,00 mill. €",1000000.0
9.0,Florinel Coman Extremo izquierdo,10/04/1998 (27),,"6,00 mill. €",6000000.0
97.0,Mattia Felici Extremo izquierdo,17/04/2001 (24),,"3,00 mill. €",3000000.0
91.0,Roberto Piccoli Delantero centro,27/01/2001 (24),,"8,00 mill. €",8000000.0
77.0,Zito Luvumbo Delantero centro,09/03/2002 (23),,"5,50 mill. €",5500000.0
80.0,Kingstone Mutandwa Delantero centro,05/01/2003 (22),,"1,00 mill. €",1000000.0
30.0,Leonardo Pavoletti Delantero centro,26/11/1988 (36),,700 mil €,700000.0
