#,Jugadores,F. Nacim./Edad,Nac.,Valor de mercado,Valor de mercado Num
30.0,Jean Butez Portero,08/06/1995 (29),,"3,00 mill. €",3000000.0
25.0,Pepe Reina Portero,31/08/1982 (42),,600 mil €,600000.0
22.0,Mauro Vigorito Portero,22/05/1990 (35),,150 mil €,150000.0
12.0,Pierre Bolchini Portero,27/02/1999 (26),,50 mil €,50000.0
13.0,Alberto Dossena Defensa central,13/10/1998 (26),,"7,00 mill. €",7000000.0
2.0,Marc Oliver Kempf Defensa central,28/01/1995 (30),,"2,50 mill. €",2500000.0
5.0,Edoardo Goldaniga Defensa central,02/11/1993 (31),,"2,00 mill. €",2000000.0
15.0,Fellipe Jack Defensa central,12/01/2006 (19),,"1,40 mill. €",1400000.0
41.0,Álex Valle Lateral izquierdo,25/04/2004 (21),,"4,50 mill. €",4500000.0
18.0,Alberto Moreno Lateral izquierdo,05/07/1992 (32),,"1,80 mill. €",1800000.0
77.0,Ignace Van der Brempt Lateral derecho,01/04/2002 (23),,"4,00 mill. €",4000000.0
31.0,Mërgim Vojvoda Lateral derecho,01/02/1995 (30),,"3,00 mill. €",3000000.0
28.0,Ivan Smolcic Lateral derecho,17/08/2000 (24),,"2,00 mill. €",2000000.0
23.0,Máximo Perrone Pivote,07/01/2003 (22),,"9,00 mill. €",9000000.0
26.0,Yannik Engelhardt Pivote,07/02/2001 (24),,"7,00 mill. €",7000000.0
80.0,Maxence Caqueret Mediocentro,15/02/2000 (25),,"15,00 mill. €",15000000.0
33.0,Lucas Da Cunha Mediocentro,09/06/2001 (23),,"7,00 mill. €",7000000.0
20.0,Sergi Roberto Mediocentro,07/02/1992 (33),,"2,00 mill. €",2000000.0
27.0,Matthias Braunöder Mediocentro,27/03/2002 (23),,"1,60 mill. €",1600000.0
58.0,Giuseppe Mazzaglia Mediocentro,20/04/2006 (19),,250 mil €,250000.0
6.0,Alessio Iovine Interior derecho,01/02/1991 (34),,400 mil €,400000.0
79.0,Nico Paz Mediocentro ofensivo,08/09/2004 (20),,"35,00 mill. €",35000000.0
8.0,Dele Alli Mediocentro ofensivo,11/04/1996 (29),,"3,50 mill. €",3500000.0
44.0,Naj Razi Mediocentro ofensivo,28/10/2006 (18),,300 mil €,300000.0
16.0,Alieu Fadera Extremo izquierdo,03/11/2001 (23),,"5,00 mill. €",5000000.0
38.0,Assane Diao Extremo derecho,07/09/2005 (19),,"25,00 mill. €",25000000.0
19.0,Jonathan Ikoné Extremo derecho,02/05/1998 (27),,"8,00 mill. €",8000000.0
7.0,Gabriel Strefezza Extremo derecho,18/04/1997 (28),,"6,00 mill. €",6000000.0
11.0,Anastasios Douvikas Delantero centro,02/08/1999 (25),,"8,00 mill. €",8000000.0
10.0,Patrick Cutrone Delantero centro,03/01/1998 (27),,"7,00 mill. €",7000000.0
90.0,Iván Azón Delantero centro,24/12/2002 (22),,"3,00 mill. €",3000000.0
9.0,Alessandro Gabrielloni Delantero centro,10/07/1994 (30),,"1,00 mill. €",1000000.0
