#,Jugadores,F. Nacim./Edad,Nac.,Valor de mercado,Valor de mercado Num
23.0,Devis Vásquez Portero,12/05/1998 (27),,"2,00 mill. €",2000000.0
12.0,Jacopo Seghetti Portero,17/02/2005 (20),,"1,00 mill. €",1000000.0
1.0,Marco Silvestri Portero,02/03/1991 (34),,500 mil €,500000.0
98.0,Federico Brancolini Portero,14/07/2001 (23),,200 mil €,200000.0
2.0,Saba Goglichidze Defensa central,25/06/2004 (20),,"8,00 mill. €",8000000.0
21.0,Mattia Viti Defensa central,24/01/2002 (23),,"6,50 mill. €",6500000.0
34.0,Ardian Ismajli Defensa central,30/09/1996 (28),,"6,00 mill. €",6000000.0
35.0,Luca Marianucci Defensa central,23/07/2004 (20),,"5,00 mill. €",5000000.0
15.0,Saba Sazonov Defensa central,01/02/2002 (23),,"2,50 mill. €",2500000.0
13.0,Liberato Cacace Lateral izquierdo,27/09/2000 (24),,"3,00 mill. €",3000000.0
3.0,Giuseppe Pezzella Lateral izquierdo,29/11/1997 (27),,"2,50 mill. €",2500000.0
24.0,Tyronne Ebuehi Lateral derecho,16/12/1995 (29),,"1,50 mill. €",1500000.0
7.0,Junior Sambia Lateral derecho,07/09/1996 (28),,"1,40 mill. €",1400000.0
22.0,Mattia De Sciglio Lateral derecho,20/10/1992 (32),,"1,00 mill. €",1000000.0
5.0,Alberto Grassi Pivote,07/03/1995 (30),,"2,00 mill. €",2000000.0
10.0,Jacopo Fazzini Mediocentro,16/03/2003 (22),,"8,00 mill. €",8000000.0
93.0,Youssef Maleh Mediocentro,22/08/1998 (26),,"4,00 mill. €",4000000.0
27.0,Szymon Żurkowski Mediocentro,25/09/1997 (27),,"2,50 mill. €",2500000.0
6.0,Liam Henderson Mediocentro,25/04/1996 (29),,"1,80 mill. €",1800000.0
32.0,Nicolas Haas Mediocentro,23/01/1996 (29),,700 mil €,700000.0
11.0,Emmanuel Gyasi Interior derecho,11/01/1994 (31),,"2,00 mill. €",2000000.0
8.0,Tino Anjorin Mediocentro ofensivo,23/11/2001 (23),,"6,00 mill. €",6000000.0
20.0,Viktor Kovalenko Mediocentro ofensivo,14/02/1996 (29),,"1,00 mill. €",1000000.0
17.0,Ola Solbakken Extremo derecho,07/09/1998 (26),,"2,50 mill. €",2500000.0
99.0,Sebastiano Esposito Mediapunta,02/07/2002 (22),,"10,00 mill. €",10000000.0
18.0,Christian Kouamé Delantero centro,06/12/1997 (27),,"6,00 mill. €",6000000.0
29.0,Lorenzo Colombo Delantero centro,08/03/2002 (23),,"6,00 mill. €",6000000.0
9.0,Pietro Pellegri Delantero centro,17/03/2001 (24),,"2,50 mill. €",2500000.0
