#,Jugadores,F. Nacim./Edad,Nac.,Valor de mercado,Valor de mercado Num
1.0,Lorenzo Montipò Portero,20/02/1996 (29),,"3,00 mill. €",3000000.0
98.0,Federico Magro Portero,10/01/2005 (20),,300 mil €,300000.0
34.0,Simone Perilli Portero,07/01/1995 (30),,200 mil €,200000.0
22.0,Alessandro Berardi Portero,16/01/1991 (34),,50 mil €,50000.0
42.0,Diego Coppola Defensa central,28/12/2003 (21),,"7,50 mill. €",7500000.0
6.0,Nicolás Valentini Defensa central,06/04/2001 (24),,"4,50 mill. €",4500000.0
4.0,Flavius Daniliuc Defensa central,27/04/2001 (24),,"4,00 mill. €",4000000.0
87.0,Daniele Ghilardi Defensa central,06/01/2003 (22),,"4,00 mill. €",4000000.0
27.0,Paweł Dawidowicz Defensa central,20/05/1995 (30),,"2,50 mill. €",2500000.0
19.0,Tobias Slotsager Defensa central,01/01/2006 (19),,"2,00 mill. €",2000000.0
30.0,Luan Patrick Defensa central,20/01/2002 (23),,"1,30 mill. €",1300000.0
15.0,Yllan Okou Defensa central,23/12/2002 (22),,900 mil €,900000.0
12.0,Domagoj Bradarić Lateral izquierdo,10/12/1999 (25),,"4,00 mill. €",4000000.0
3.0,Martin Frese Lateral izquierdo,04/01/1998 (27),,"2,00 mill. €",2000000.0
38.0,Jackson Tchatchoua Lateral derecho,14/09/2001 (23),,"8,00 mill. €",8000000.0
5.0,Davide Faraoni Lateral derecho,25/10/1991 (33),,"1,00 mill. €",1000000.0
2.0,Daniel Oyegoke Lateral derecho,03/01/2003 (22),,400 mil €,400000.0
10.0,Cheikh Niasse Pivote,19/01/2000 (25),,"2,00 mill. €",2000000.0
25.0,Suat Serdar Mediocentro,11/04/1997 (28),,"5,00 mill. €",5000000.0
33.0,Ondrej Duda Mediocentro,05/12/1994 (30),,"4,00 mill. €",4000000.0
24.0,Antoine Bernede Mediocentro,26/05/1999 (25),,"3,50 mill. €",3500000.0
18.0,Abdou Harroui Mediocentro,13/01/1998 (27),,"2,00 mill. €",2000000.0
8.0,Darko Lazović Interior izquierdo,15/09/1990 (34),,"1,00 mill. €",1000000.0
31.0,Tomas Suslov Mediocentro ofensivo,07/06/2002 (22),,"6,00 mill. €",6000000.0
20.0,Grigoris Kastanos Mediocentro ofensivo,30/01/1998 (27),,"1,80 mill. €",1800000.0
80.0,Alphadjo Cissè Mediocentro ofensivo,22/10/2006 (18),,"1,40 mill. €",1400000.0
11.0,Casper Tengstedt Delantero centro,01/06/2000 (24),,"7,00 mill. €",7000000.0
9.0,Amin Sarr Delantero centro,11/03/2001 (24),,"4,00 mill. €",4000000.0
35.0,Daniel Mosquera Delantero centro,20/10/1999 (25),,"1,50 mill. €",1500000.0
14.0,Dailon Rocha Livramento Delantero centro,04/05/2001 (24),,800 mil €,800000.0
7.0,Mathis Lambourde Delantero centro,09/01/2006 (19),,500 mil €,500000.0
72.0,Junior Ajayi Delantero centro,11/10/2004 (20),,300 mil €,300000.0
