#,Jugadores,F. Nacim./Edad,Nac.,Valor de mercado,Valor de mercado Num
13.0,Josep Martínez Portero,27/05/1998 (26),,"12,00 mill. €",12000000.0
1.0,Yann Sommer Portero,17/12/1988 (36),,"4,00 mill. €",4000000.0
12.0,Raffaele Di Gennaro Portero,03/10/1993 (31),,300 mil €,300000.0
95.0,Alessandro Bastoni Defensa central,13/04/1999 (26),,"80,00 mill. €",80000000.0
28.0,Benjamin Pavard Defensa central,28/03/1996 (29),,"30,00 mill. €",30000000.0
31.0,Yann Bisseck Defensa central,29/11/2000 (24),,"30,00 mill. €",30000000.0
6.0,Stefan de Vrij Defensa central,05/02/1992 (33),,"7,00 mill. €",7000000.0
15.0,Francesco Acerbi Defensa central,10/02/1988 (37),,"3,00 mill. €",3000000.0
32.0,Federico Dimarco Lateral izquierdo,10/11/1997 (27),,"60,00 mill. €",60000000.0
30.0,Carlos Augusto Lateral izquierdo,07/01/1999 (26),,"22,00 mill. €",22000000.0
2.0,Denzel Dumfries Lateral derecho,18/04/1996 (29),,"28,00 mill. €",28000000.0
36.0,Matteo Darmian Lateral derecho,02/12/1989 (35),,"4,00 mill. €",4000000.0
20.0,Hakan Çalhanoğlu Pivote,08/02/1994 (31),,"35,00 mill. €",35000000.0
21.0,Kristjan Asllani Pivote,09/03/2002 (23),,"15,00 mill. €",15000000.0
23.0,Nicolò Barella Mediocentro,07/02/1997 (28),,"80,00 mill. €",80000000.0
16.0,Davide Frattesi Mediocentro,22/09/1999 (25),,"32,00 mill. €",32000000.0
7.0,Piotr Zieliński Mediocentro,20/05/1994 (31),,"14,00 mill. €",14000000.0
22.0,Henrikh Mkhitaryan Mediocentro,21/01/1989 (36),,"4,00 mill. €",4000000.0
59.0,Nicola Zalewski Interior izquierdo,23/01/2002 (23),,"10,00 mill. €",10000000.0
45.0,Valentín Carboni Mediocentro ofensivo,05/03/2005 (20),,"12,00 mill. €",12000000.0
11.0,Joaquín Correa Mediapunta,13/08/1994 (30),,"3,00 mill. €",3000000.0
10.0,Lautaro Martínez Delantero centro,22/08/1997 (27),,"95,00 mill. €",95000000.0
9.0,Marcus Thuram Delantero centro,06/08/1997 (27),,"75,00 mill. €",75000000.0
99.0,Mehdi Taremi Delantero centro,18/07/1992 (32),,"5,00 mill. €",5000000.0
8.0,Marko Arnautovic Delantero centro,19/04/1989 (36),,"3,50 mill. €",3500000.0
