#,Jugadores,F. Nacim./Edad,Nac.,Valor de mercado,Valor de mercado Num
29.0,Michele Di Gregorio Portero,27/07/1997 (27),,"18,00 mill. €",18000000.0
1.0,Mattia Perin Portero,10/11/1992 (32),,"3,00 mill. €",3000000.0
23.0,Carlo Pinsoglio Portero,16/03/1990 (35),,200 mil €,200000.0
3.0,Bremer Defensa central,18/03/1997 (28),,"50,00 mill. €",50000000.0
15.0,Pierre Kalulu Defensa central,05/06/2000 (24),,"26,00 mill. €",26000000.0
4.0,Federico Gatti Defensa central,24/06/1998 (26),,"25,00 mill. €",25000000.0
6.0,Lloyd Kelly Defensa central,06/10/1998 (26),,"18,00 mill. €",18000000.0
12.0,Renato Veiga Defensa central,29/07/2003 (21),,"18,00 mill. €",18000000.0
27.0,Andrea Cambiaso Lateral izquierdo,20/02/2000 (25),,"40,00 mill. €",40000000.0
32.0,Juan Cabal Lateral izquierdo,08/01/2001 (24),,"9,00 mill. €",9000000.0
40.0,Jonas Rouhi Lateral izquierdo,07/01/2004 (21),,"2,00 mill. €",2000000.0
37.0,Nicolò Savona Lateral derecho,19/03/2003 (22),,"14,00 mill. €",14000000.0
2.0,Alberto Costa Lateral derecho,29/09/2003 (21),,"10,00 mill. €",10000000.0
5.0,Manuel Locatelli Pivote,08/01/1998 (27),,"28,00 mill. €",28000000.0
19.0,Khéphren Thuram Mediocentro,26/03/2001 (24),,"40,00 mill. €",40000000.0
26.0,Douglas Luiz Mediocentro,09/05/1998 (27),,"38,00 mill. €",38000000.0
16.0,Weston McKennie Mediocentro,28/08/1998 (26),,"24,00 mill. €",24000000.0
8.0,Teun Koopmeiners Mediocentro ofensivo,28/02/1998 (27),,"40,00 mill. €",40000000.0
17.0,Vasilije Adžić Mediocentro ofensivo,12/05/2006 (19),,"3,00 mill. €",3000000.0
10.0,Kenan Yıldız Extremo izquierdo,04/05/2005 (20),,"45,00 mill. €",45000000.0
51.0,Samuel Mbangula Extremo izquierdo,16/01/2004 (21),,"14,00 mill. €",14000000.0
7.0,Francisco Conceição Extremo derecho,14/12/2002 (22),,"36,00 mill. €",36000000.0
11.0,Nico González Extremo derecho,06/04/1998 (27),,"28,00 mill. €",28000000.0
22.0,Timothy Weah Extremo derecho,22/02/2000 (25),,"17,00 mill. €",17000000.0
9.0,Dušan Vlahović Delantero centro,28/01/2000 (25),,"45,00 mill. €",45000000.0
20.0,Randal Kolo Muani Delantero centro,05/12/1998 (26),,"30,00 mill. €",30000000.0
14.0,Arkadiusz Milik Delantero centro,28/02/1994 (31),,"2,00 mill. €",2000000.0
