#,Jugadores,F. Nacim./Edad,Nac.,Valor de mercado,Valor de mercado Num
94,Ivan Provedel Portero,17/03/1994 (31),,"7,00 mill. €",7000000.0
35,Christos Mandas Portero,17/09/2001 (23),,"5,00 mill. €",5000000.0
59,Davide Renzetti Portero,09/06/2006 (18),,100 mil €,100000.0
55,Alessio Furlanetto Portero,07/02/2002 (23),,50 mil €,50000.0
34,Mario Gila Defensa central,29/08/2000 (24),,"28,00 mill. €",28000000.0
13,Alessio Romagnoli Defensa central,12/01/1995 (30),,"12,00 mill. €",12000000.0
2,Samuel Gigot Defensa central,12/10/1993 (31),,"4,00 mill. €",4000000.0
4,Patric Defensa central,17/04/1993 (32),,"4,00 mill. €",4000000.0
25,Oliver Provstgaard Defensa central,04/06/2003 (21),,"3,50 mill. €",3500000.0
76,Filipe Bordon Defensa central,24/06/2005 (19),,500 mil €,500000.0
30,Nuno Tavares Lateral izquierdo,26/01/2000 (25),,"25,00 mill. €",25000000.0
3,Luca Pellegrini Lateral izquierdo,07/03/1999 (26),,"2,50 mill. €",2500000.0
77,Adam Marusic Lateral derecho,17/10/1992 (32),,"4,00 mill. €",4000000.0
23,Elseid Hysaj Lateral derecho,02/02/1994 (31),,"2,00 mill. €",2000000.0
6,Nicolò Rovella Pivote,04/12/2001 (23),,"28,00 mill. €",28000000.0
21,Reda Belahyane Pivote,01/06/2004 (20),,"10,00 mill. €",10000000.0
8,Mattéo Guendouzi Mediocentro,14/04/1999 (26),,"32,00 mill. €",32000000.0
5,Matías Vecino Mediocentro,24/08/1991 (33),,"2,50 mill. €",2500000.0
26,Toma Bašić Mediocentro,25/11/1996 (28),,"1,00 mill. €",1000000.0
29,Manuel Lazzari Interior derecho,29/11/1993 (31),,"4,00 mill. €",4000000.0
7,Fisayo Dele-Bashiru Mediocentro ofensivo,06/02/2001 (24),,"8,00 mill. €",8000000.0
27,Arijon Ibrahimovic Mediocentro ofensivo,11/12/2005 (19),,"4,00 mill. €",4000000.0
-,Cristo Muñoz Mediocentro ofensivo,01/02/2005 (20),,250 mil €,250000.0
28,André Anderson Mediocentro ofensivo,23/09/1999 (25),,200 mil €,200000.0
10,Mattia Zaccagni Extremo izquierdo,16/06/1995 (29),,"20,00 mill. €",20000000.0
18,Gustav Isaksen Extremo derecho,19/04/2001 (24),,"20,00 mill. €",20000000.0
14,Tijjani Noslin Extremo derecho,07/07/1999 (25),,"12,00 mill. €",12000000.0
20,Loum Tchaouna Extremo derecho,08/09/2003 (21),,"10,00 mill. €",10000000.0
9,Pedro Extremo derecho,28/07/1987 (37),,"1,00 mill. €",1000000.0
11,Taty Castellanos Delantero centro,03/10/1998 (26),,"25,00 mill. €",25000000.0
19,Boulaye Dia Delantero centro,16/11/1996 (28),,"15,00 mill. €",15000000.0
