#,Jugadores,F. Nacim./Edad,Nac.,Valor de mercado,Valor de mercado Num
31.0,Zion Suzuki Portero,21/08/2002 (22),,"14,00 mill. €",14000000.0
40.0,Edoardo Corvi Portero,23/03/2001 (24),,350 mil €,350000.0
33.0,Richard Marcone Portero,21/01/1993 (32),,250 mil €,250000.0
39.0,Alessandro Circati Defensa central,10/10/2003 (21),,"8,50 mill. €",8500000.0
46.0,Giovanni Leoni Defensa central,21/12/2006 (18),,"6,00 mill. €",6000000.0
4.0,Botond Balogh Defensa central,06/06/2002 (22),,"2,50 mill. €",2500000.0
21.0,Alessandro Vogliacco Defensa central,14/09/1998 (26),,"2,00 mill. €",2000000.0
3.0,Yordan Osorio Defensa central,10/05/1994 (31),,"1,70 mill. €",1700000.0
5.0,Lautaro Valenti Defensa central,14/01/1999 (26),,"1,50 mill. €",1500000.0
18.0,Mathias Løvik Lateral izquierdo,06/12/2003 (21),,"5,00 mill. €",5000000.0
14.0,Emanuele Valeri Lateral izquierdo,07/12/1998 (26),,"3,00 mill. €",3000000.0
15.0,Enrico Delprato Lateral derecho,10/11/1999 (25),,"6,00 mill. €",6000000.0
20.0,Antoine Hainaut Lateral derecho,18/02/2002 (23),,"1,00 mill. €",1000000.0
16.0,Mandela Keita Pivote,10/05/2002 (23),,"11,00 mill. €",11000000.0
8.0,Nahuel Estévez Pivote,14/11/1995 (29),,"3,50 mill. €",3500000.0
10.0,Adrián Bernabé Mediocentro,26/05/2001 (23),,"15,00 mill. €",15000000.0
19.0,Simon Sohm Mediocentro,11/04/2001 (24),,"5,00 mill. €",5000000.0
27.0,Hernani Mediocentro,27/03/1994 (31),,"2,00 mill. €",2000000.0
23.0,Drissa Camara Mediocentro,18/02/2002 (23),,"1,80 mill. €",1800000.0
17.0,Jacob Ondrejka Extremo izquierdo,02/09/2002 (22),,"7,00 mill. €",7000000.0
7.0,Adrian Benedyczak Extremo izquierdo,24/11/2000 (24),,"4,50 mill. €",4500000.0
28.0,Valentin Mihăilă Extremo izquierdo,02/02/2000 (25),,"3,00 mill. €",3000000.0
98.0,Dennis Man Extremo derecho,26/08/1998 (26),,"12,50 mill. €",12500000.0
22.0,Matteo Cancellieri Extremo derecho,12/02/2002 (23),,"5,00 mill. €",5000000.0
11.0,Pontus Almqvist Extremo derecho,10/07/1999 (25),,"2,50 mill. €",2500000.0
61.0,Anas Haj Mohamed Extremo derecho,26/03/2005 (20),,"1,80 mill. €",1800000.0
62.0,Mateusz Kowalski Mediapunta,21/07/2005 (19),,300 mil €,300000.0
13.0,Ange-Yoan Bonny Delantero centro,25/10/2003 (21),,"20,00 mill. €",20000000.0
32.0,Mateo Pellegrino Delantero centro,22/10/2001 (23),,"3,50 mill. €",3500000.0
9.0,Gabriel Charpentier Delantero centro,17/05/1999 (26),,"1,60 mill. €",1600000.0
30.0,Milan Djuric Delantero centro,22/05/1990 (35),,"1,50 mill. €",1500000.0
