#,Jugadores,F. Nacim./Edad,Nac.,Valor de mercado,Valor de mercado Num
1.0,Alex Meret Portero,22/03/1997 (28),,"12,00 mill. €",12000000.0
96.0,Simone Scuffet Portero,31/05/1996 (28),,"2,00 mill. €",2000000.0
14.0,Nikita Contini Portero,21/05/1996 (29),,400 mil €,400000.0
12.0,Claudio Turi Portero,06/05/2005 (20),,150 mil €,150000.0
4.0,Alessandro Buongiorno Defensa central,06/06/1999 (25),,"45,00 mill. €",45000000.0
13.0,Amir Rrahmani Defensa central,24/02/1994 (31),,"12,00 mill. €",12000000.0
16.0,Rafa Marín Defensa central,19/05/2002 (23),,"7,00 mill. €",7000000.0
5.0,Juan Jesus Defensa central,10/06/1991 (33),,"1,50 mill. €",1500000.0
17.0,Mathías Olivera Lateral izquierdo,31/10/1997 (27),,"18,00 mill. €",18000000.0
37.0,Leonardo Spinazzola Lateral izquierdo,25/03/1993 (32),,"3,50 mill. €",3500000.0
22.0,Giovanni Di Lorenzo Lateral derecho,04/08/1993 (31),,"15,00 mill. €",15000000.0
30.0,Pasquale Mazzocchi Lateral derecho,27/07/1995 (29),,"3,00 mill. €",3000000.0
68.0,Stanislav Lobotka Pivote,25/11/1994 (30),,"25,00 mill. €",25000000.0
6.0,Billy Gilmour Pivote,11/06/2001 (23),,"16,00 mill. €",16000000.0
8.0,Scott McTominay Mediocentro,08/12/1996 (28),,"40,00 mill. €",40000000.0
99.0,Frank Anguissa Mediocentro,16/11/1995 (29),,"27,00 mill. €",27000000.0
15.0,Philip Billing Mediocentro,11/06/1996 (28),,"12,00 mill. €",12000000.0
29.0,Luis Hasa Mediocentro,06/01/2004 (21),,"1,00 mill. €",1000000.0
7.0,David Neres Extremo izquierdo,03/03/1997 (28),,"30,00 mill. €",30000000.0
9.0,Noah Okafor Extremo izquierdo,24/05/2000 (25),,"15,00 mill. €",15000000.0
21.0,Matteo Politano Extremo derecho,03/08/1993 (31),,"10,00 mill. €",10000000.0
26.0,Cyril Ngonge Extremo derecho,26/05/2000 (24),,"10,00 mill. €",10000000.0
81.0,Giacomo Raspadori Mediapunta,18/02/2000 (25),,"20,00 mill. €",20000000.0
11.0,Romelu Lukaku Delantero centro,13/05/1993 (32),,"22,00 mill. €",22000000.0
18.0,Giovanni Simeone Delantero centro,05/07/1995 (29),,"8,00 mill. €",8000000.0
