#,Jugadores,F. Nacim./Edad,Nac.,Valor de mercado,Valor de mercado Num
40.0,Maduka Okoye Portero,28/08/1999 (25),,"7,50 mill. €",7500000.0
90.0,Răzvan Sava Portero,21/06/2002 (22),,"2,50 mill. €",2500000.0
93.0,Daniele Padelli Portero,25/10/1985 (39),,150 mil €,150000.0
66.0,Edoardo Piana Portero,29/09/2003 (21),,50 mil €,50000.0
29.0,Jaka Bijol Defensa central,05/02/1999 (26),,"18,00 mill. €",18000000.0
28.0,Oumar Solet Defensa central,07/02/2000 (25),,"14,00 mill. €",14000000.0
95.0,Isaak Touré Defensa central,28/03/2003 (22),,"8,00 mill. €",8000000.0
31.0,Thomas Kristensen Defensa central,17/01/2002 (23),,"6,00 mill. €",6000000.0
30.0,Lautaro Giannetti Defensa central,13/11/1993 (31),,"2,50 mill. €",2500000.0
16.0,Matteo Palma Defensa central,13/03/2008 (17),,"1,00 mill. €",1000000.0
27.0,Christian Kabasele Defensa central,24/02/1991 (34),,"1,00 mill. €",1000000.0
33.0,Jordan Zemura Lateral izquierdo,14/11/1999 (25),,"5,00 mill. €",5000000.0
11.0,Hassane Kamara Lateral izquierdo,05/03/1994 (31),,"3,50 mill. €",3500000.0
19.0,Kingsley Ehizibue Lateral derecho,25/05/1995 (30),,"3,00 mill. €",3000000.0
25.0,Jesper Karlström Pivote,21/06/1995 (29),,"3,50 mill. €",3500000.0
8.0,Sandi Lovrić Mediocentro,28/03/1998 (27),,"8,00 mill. €",8000000.0
32.0,Jurgen Ekkelenkamp Mediocentro,05/04/2000 (25),,"7,50 mill. €",7500000.0
5.0,Martín Payero Mediocentro,11/09/1998 (26),,"6,00 mill. €",6000000.0
14.0,Arthur Atta Mediocentro,14/01/2003 (22),,"2,50 mill. €",2500000.0
6.0,Oier Zarraga Mediocentro,04/01/1999 (26),,"2,00 mill. €",2000000.0
77.0,Rui Modesto Interior derecho,07/10/1999 (25),,"1,80 mill. €",1800000.0
20.0,Simone Pafundi Mediocentro ofensivo,14/03/2006 (19),,"6,00 mill. €",6000000.0
79.0,David Pejičić Mediocentro ofensivo,14/06/2007 (17),,"1,00 mill. €",1000000.0
10.0,Florian Thauvin Mediapunta,26/01/1993 (32),,"5,00 mill. €",5000000.0
17.0,Lorenzo Lucca Delantero centro,10/09/2000 (24),,"22,00 mill. €",22000000.0
22.0,Brenner Delantero centro,16/01/2000 (25),,"4,50 mill. €",4500000.0
9.0,Keinan Davis Delantero centro,13/02/1998 (27),,"4,00 mill. €",4000000.0
99.0,Damián Pizarro Delantero centro,28/03/2005 (20),,"4,00 mill. €",4000000.0
21.0,Iker Bravo Delantero centro,13/01/2005 (20),,"2,50 mill. €",2500000.0
7.0,Alexis Sánchez Delantero centro,19/12/1988 (36),,"2,00 mill. €",2000000.0
