#,Jugadores,F. Nacim./Edad,Nac.,Valor de mercado,Valor de mercado Num
35.0,Filip Stanković Portero,25/02/2002 (23),,"6,00 mill. €",6000000.0
28.0,Andrei Radu Portero,28/05/1997 (27),,"2,50 mill. €",2500000.0
1.0,Jesse Joronen Portero,21/03/1993 (32),,600 mil €,600000.0
23.0,Matteo Grandi Portero,12/10/1992 (32),,150 mil €,150000.0
4.0,Jay Idzes Defensa central,02/06/2000 (24),,"5,00 mill. €",5000000.0
25.0,Joël Schingtienne Defensa central,14/08/2002 (22),,"3,00 mill. €",3000000.0
30.0,Michael Svoboda Defensa central,15/10/1998 (26),,"3,00 mill. €",3000000.0
2.0,Fali Candé Defensa central,24/01/1998 (27),,"2,00 mill. €",2000000.0
16.0,Alessandro Marcandalli Defensa central,25/10/2002 (22),,"2,00 mill. €",2000000.0
33.0,Marin Šverko Defensa central,04/02/1998 (27),,"1,20 mill. €",1200000.0
5.0,Ridgeciano Haps Lateral izquierdo,12/06/1993 (31),,"1,00 mill. €",1000000.0
79.0,Franco Carboni Lateral izquierdo,04/04/2003 (22),,"1,00 mill. €",1000000.0
21.0,Richie Sagrado Lateral derecho,30/01/2004 (21),,"2,00 mill. €",2000000.0
7.0,Francesco Zampano Lateral derecho,30/09/1993 (31),,"1,10 mill. €",1100000.0
17.0,Cheick Condé Pivote,26/07/2000 (24),,"2,00 mill. €",2000000.0
14.0,Hans Nicolussi Caviglia Mediocentro,18/06/2000 (24),,"8,00 mill. €",8000000.0
6.0,Gianluca Busio Mediocentro,28/05/2002 (22),,"6,50 mill. €",6500000.0
71.0,Kike Pérez Mediocentro,14/02/1997 (28),,"2,80 mill. €",2800000.0
77.0,Mikael Egill Ellertsson Mediocentro,11/03/2002 (23),,"2,80 mill. €",2800000.0
32.0,Alfred Duncan Mediocentro,10/03/1993 (32),,"2,50 mill. €",2500000.0
97.0,Issa Doumbia Mediocentro,16/10/2003 (21),,"2,00 mill. €",2000000.0
22.0,Domen Crnigoj Mediocentro,18/11/1995 (29),,900 mil €,900000.0
19.0,Bjarki Bjarkason Interior izquierdo,11/05/2000 (25),,800 mil €,800000.0
11.0,Gaetano Oristanio Mediocentro ofensivo,28/09/2002 (22),,"6,50 mill. €",6500000.0
10.0,John Yeboah Mediocentro ofensivo,23/06/2000 (24),,"2,50 mill. €",2500000.0
80.0,Saad El Haddad Mediocentro ofensivo,24/07/2005 (19),,250 mil €,250000.0
24.0,Alessio Zerbin Extremo izquierdo,03/03/1999 (26),,"4,00 mill. €",4000000.0
18.0,Daniel Fila Delantero centro,21/08/2002 (22),,"3,00 mill. €",3000000.0
9.0,Christian Gytkjær Delantero centro,06/05/1990 (35),,700 mil €,700000.0
99.0,Mirko Marić Delantero centro,16/05/1995 (30),,700 mil €,700000.0
