#,Jugadores,F. Nacim./Edad,Nac.,Valor de mercado,Valor de mercado Num
1.0,Nicola Leali Portero,17/02/1993 (32),,"1,50 mill. €",1500000.0
31.0,Benjamin Siegrist Portero,31/01/1992 (33),,650 mil €,650000.0
39.0,Daniele Sommariva Portero,18/07/1997 (27),,100 mil €,100000.0
4.0,Koni De Winter Defensa central,12/06/2002 (22),,"18,00 mill. €",18000000.0
22.0,Johan Vásquez Defensa central,22/10/1998 (26),,"12,00 mill. €",12000000.0
33.0,Alan Matturro Defensa central,11/10/2004 (20),,"8,00 mill. €",8000000.0
13.0,Mattia Bani Defensa central,10/12/1993 (31),,"2,00 mill. €",2000000.0
34.0,Sebastian Otoa Defensa central,13/05/2004 (21),,"2,00 mill. €",2000000.0
3.0,Aarón Martín Lateral izquierdo,22/04/1997 (28),,"6,50 mill. €",6500000.0
69.0,Honest Ahanor Lateral izquierdo,23/02/2008 (17),,"3,00 mill. €",3000000.0
59.0,Alessandro Zanoli Lateral derecho,03/10/2000 (24),,"6,00 mill. €",6000000.0
15.0,Brooke Norton-Cuffy Lateral derecho,12/01/2004 (21),,"3,50 mill. €",3500000.0
20.0,Stefano Sabelli Lateral derecho,13/01/1993 (32),,"1,50 mill. €",1500000.0
5.0,Jean Onana Pivote,08/01/2000 (25),,"3,00 mill. €",3000000.0
53.0,Lior Kassa Pivote,27/09/2005 (19),,"1,50 mill. €",1500000.0
47.0,Milan Badelj Pivote,25/02/1989 (36),,800 mil €,800000.0
32.0,Morten Frendrup Mediocentro,07/04/2001 (24),,"20,00 mill. €",20000000.0
23.0,Fabio Miretti Mediocentro,03/08/2003 (21),,"14,00 mill. €",14000000.0
73.0,Patrizio Masini Mediocentro,27/01/2001 (24),,"3,50 mill. €",3500000.0
2.0,Morten Thorsby Mediocentro,05/05/1996 (29),,"3,00 mill. €",3000000.0
17.0,Ruslan Malinovskyi Mediocentro ofensivo,04/05/1993 (32),,"3,50 mill. €",3500000.0
30.0,Hugo Cuenca Mediocentro ofensivo,08/01/2005 (20),,300 mil €,300000.0
70.0,Maxwel Cornet Extremo izquierdo,27/09/1996 (28),,"8,00 mill. €",8000000.0
10.0,Junior Messias Extremo derecho,13/05/1991 (34),,"2,00 mill. €",2000000.0
19.0,Andrea Pinamonti Delantero centro,19/05/1999 (26),,"16,00 mill. €",16000000.0
9.0,Vitinha Delantero centro,15/03/2000 (25),,"10,00 mill. €",10000000.0
21.0,Jeff Ekhator Delantero centro,11/11/2006 (18),,"5,00 mill. €",5000000.0
18.0,Caleb Ekuban Delantero centro,23/03/1994 (31),,"1,50 mill. €",1500000.0
45.0,Mario Balotelli Delantero centro,12/08/1990 (34),,500 mil €,500000.0
