#,Jugadores,F. Nacim./Edad,Nac.,Valor de mercado,Valor de mercado Num
32.0,Vanja Milinković-Savić Portero,20/02/1997 (28),,"12,00 mill. €",12000000.0
1.0,Alberto Paleari Portero,29/08/1992 (32),,500 mil €,500000.0
17.0,Antonio Donnarumma Portero,07/07/1990 (34),,300 mil €,300000.0
23.0,Saúl Coco Defensa central,09/02/1999 (26),,"12,00 mill. €",12000000.0
3.0,Perr Schuurs Defensa central,26/11/1999 (25),,"10,00 mill. €",10000000.0
4.0,Sebastian Walukiewicz Defensa central,05/04/2000 (25),,"5,00 mill. €",5000000.0
13.0,Guillermo Maripán Defensa central,06/05/1994 (31),,"4,00 mill. €",4000000.0
5.0,Adam Masina Defensa central,02/01/1994 (31),,"1,50 mill. €",1500000.0
34.0,Cristiano Biraghi Lateral izquierdo,01/09/1992 (32),,"2,00 mill. €",2000000.0
28.0,Samuele Ricci Pivote,21/08/2001 (23),,"30,00 mill. €",30000000.0
61.0,Adrien Tamèze Pivote,04/02/1994 (31),,"3,50 mill. €",3500000.0
8.0,Ivan Ilić Mediocentro,17/03/2001 (24),,"18,00 mill. €",18000000.0
22.0,Cesare Casadei Mediocentro,10/01/2003 (22),,"15,00 mill. €",15000000.0
66.0,Gvidas Gineitis Mediocentro,15/04/2004 (21),,"5,00 mill. €",5000000.0
26.0,Emirhan İlkhan Mediocentro,01/06/2004 (20),,"2,50 mill. €",2500000.0
77.0,Karol Linetty Mediocentro,02/02/1995 (30),,"2,50 mill. €",2500000.0
16.0,Marcus Pedersen Interior derecho,16/07/2000 (24),,"3,50 mill. €",3500000.0
21.0,Ali Dembélé Interior derecho,05/01/2004 (21),,800 mil €,800000.0
24.0,Borna Sosa Interior izquierdo,21/01/1998 (27),,"6,00 mill. €",6000000.0
20.0,Valentino Lazaro Interior izquierdo,24/03/1996 (29),,"4,50 mill. €",4500000.0
11.0,Eljif Elmas Mediocentro ofensivo,24/09/1999 (25),,"14,00 mill. €",14000000.0
10.0,Nikola Vlašić Mediocentro ofensivo,04/10/1997 (27),,"8,00 mill. €",8000000.0
92.0,Alieu Njie Extremo izquierdo,14/05/2005 (20),,"2,50 mill. €",2500000.0
7.0,Yann Karamoh Extremo izquierdo,08/07/1998 (26),,"2,20 mill. €",2200000.0
79.0,Zanos Savva Extremo derecho,26/11/2005 (19),,"1,00 mill. €",1000000.0
18.0,Ché Adams Delantero centro,13/07/1996 (28),,"15,00 mill. €",15000000.0
9.0,Antonio Sanabria Delantero centro,04/03/1996 (29),,"4,00 mill. €",4000000.0
91.0,Duván Zapata Delantero centro,01/04/1991 (34),,"4,00 mill. €",4000000.0
15.0,Amine Salama Delantero centro,18/07/2000 (24),,"1,80 mill. €",1800000.0
