#,Jugadores,F. Nacim./Edad,Nac.,Valor de mercado,Valor de mercado Num
30,Wladimiro Falcone Portero,12/04/1995 (30),,"4,00 mill. €",4000000.0
1,Christian Früchtl Portero,28/01/2000 (25),,"1,50 mill. €",1500000.0
32,Jasper Samooja Portero,21/07/2003 (21),,75 mil €,75000.0
6,Federico Baschirotto Defensa central,20/09/1996 (28),,"3,80 mill. €",3800000.0
4,Kialonda Gaspar Defensa central,27/09/1997 (27),,"2,50 mill. €",2500000.0
19,Gaby Jean Defensa central,19/02/2000 (25),,"2,00 mill. €",2000000.0
44,Tiago Gabriel Defensa central,26/12/2004 (20),,"1,00 mill. €",1000000.0
28,Sebastian Esposito Defensa central,21/04/2005 (20),,200 mil €,200000.0
2,Elijah Scott Defensa central,03/02/2006 (19),,-,
25,Antonino Gallo Lateral izquierdo,05/01/2000 (25),,"4,50 mill. €",4500000.0
99,Marco Sala Lateral izquierdo,04/06/1999 (25),,"1,00 mill. €",1000000.0
42,Vernon Addo Lateral izquierdo,24/05/2005 (20),,150 mil €,150000.0
12,Frédéric Guilbert Lateral derecho,24/12/1994 (30),,"2,50 mill. €",2500000.0
17,Danilo Veiga Lateral derecho,25/09/2002 (22),,"1,00 mill. €",1000000.0
20,Ylber Ramadani Pivote,12/04/1996 (29),,"2,20 mill. €",2200000.0
75,Balthazar Pierret Pivote,15/05/2000 (25),,"1,50 mill. €",1500000.0
14,Thórir Jóhann Helgason Mediocentro,28/09/2000 (24),,"2,50 mill. €",2500000.0
29,Lassana Coulibaly Mediocentro,10/04/1996 (29),,"2,50 mill. €",2500000.0
77,Mohamed Kaba Mediocentro,27/10/2001 (23),,"2,30 mill. €",2300000.0
8,Hamza Rafia Mediocentro,02/04/1999 (26),,"1,70 mill. €",1700000.0
5,Medon Berisha Mediocentro,21/10/2003 (21),,"1,00 mill. €",1000000.0
16,Joan González Mediocentro,01/02/2002 (23),,800 mil €,800000.0
36,Filip Marchwinski Mediocentro ofensivo,10/01/2002 (23),,"3,00 mill. €",3000000.0
22,Lameck Banda Extremo izquierdo,29/01/2001 (24),,"6,00 mill. €",6000000.0
37,Jesper Karlsson Extremo izquierdo,25/07/1998 (26),,"4,50 mill. €",4500000.0
7,Tete Morente Extremo izquierdo,04/12/1996 (28),,"2,00 mill. €",2000000.0
3,Ante Rebić Extremo izquierdo,21/09/1993 (31),,"1,50 mill. €",1500000.0
11,Nicola Sansone Extremo izquierdo,10/09/1991 (33),,400 mil €,400000.0
50,Santiago Pierotti Extremo derecho,03/04/2001 (24),,"4,00 mill. €",4000000.0
10,Konan N’Dri Extremo derecho,27/10/2000 (24),,"1,50 mill. €",1500000.0
-,Jeppe Corfitzen Extremo derecho,29/12/2004 (20),,400 mil €,400000.0
9,Nikola Krstović Delantero centro,05/04/2000 (25),,"14,00 mill. €",14000000.0
23,Rareș Burnete Delantero centro,31/01/2004 (21),,700 mil €,700000.0
31,Joel Voelkerling Persson Delantero centro,15/01/2003 (22),,350 mil €,350000.0
