nombre_equipo,nombre_jugador,fecha_inicio,fecha_fin
ACF Fiorentina,David De Gea,09/08/2024,al presente
ACF Fiorentina,Tommaso Martinelli,01/07/2023,al presente
Empoli FC,Pietro Terracciano,11/07/2017,22/01/2019
ACF Fiorentina,Pietro Terracciano,22/01/2019,30/06/2019
Empoli FC,Pietro Terracciano,30/06/2019,07/07/2019
ACF Fiorentina,Pietro Terracciano,07/07/2019,al presente
ACF Fiorentina,Pietro Comuzzo,01/07/2023,al presente
ACF Fiorentina,Luca Ranieri,01/07/2018,16/07/2018
ACF Fiorentina,Luca Ranieri,30/06/2019,31/01/2020
ACF Fiorentina,Luca Ranieri,31/08/2020,25/09/2020
ACF Fiorentina,Luca Ranieri,30/06/2021,31/08/2021
ACF Fiorentina,Luca Ranieri,30/06/2022,al presente
US Lecce,Marin Pongracic,22/08/2022,30/06/2023
US Lecce,Marin Pongracic,01/07/2023,19/07/2024
ACF Fiorentina,Marin Pongracic,19/07/2024,al presente
ACF Fiorentina,Matias Moreno,30/08/2024,al presente
Udinese Calcio,Pablo Mari,20/01/2022,30/06/2022
AC Monza,Pablo Mari,11/08/2022,30/06/2023
AC Monza,Pablo Mari,01/07/2023,28/01/2025
ACF Fiorentina,Pablo Mari,28/01/2025,al presente
Atalanta,Robin Gosens,01/07/2017,27/01/2022
Inter,Robin Gosens,27/01/2022,30/06/2022
Atalanta,Robin Gosens,30/06/2022,01/07/2022
Inter,Robin Gosens,01/07/2022,15/08/2023
ACF Fiorentina,Robin Gosens,30/08/2024,30/06/2025
ACF Fiorentina,Robin Gosens,01/07/2025,al presente
Empoli FC,Fabiano Parisi,22/09/2020,14/07/2023
ACF Fiorentina,Fabiano Parisi,14/07/2023,al presente
Udinese Calcio,Alex Meret,01/07/2014,14/07/2016
Udinese Calcio,Alex Meret,30/06/2018,05/07/2018
SSC Napoli,Alex Meret,05/07/2018,30/06/2019
Udinese Calcio,Alex Meret,30/06/2019,01/07/2019
SSC Napoli,Alex Meret,01/07/2019,al presente
Udinese Calcio,Simone Scuffet,01/07/2013,06/08/2015
Como 1907,Simone Scuffet,06/08/2015,30/06/2016
Udinese Calcio,Simone Scuffet,30/06/2016,16/01/2019
Udinese Calcio,Simone Scuffet,30/06/2019,19/08/2019
Udinese Calcio,Simone Scuffet,31/08/2020,30/08/2021
Cagliari Calcio,Simone Scuffet,14/07/2023,07/01/2025
SSC Napoli,Simone Scuffet,07/01/2025,30/06/2025
Cagliari Calcio,Simone Scuffet,30/06/2025,al presente
SSC Napoli,Nikita Contini,01/07/2015,20/07/2015
SSC Napoli,Nikita Contini,30/06/2016,19/08/2016
SSC Napoli,Nikita Contini,23/01/2017,24/01/2017
SSC Napoli,Nikita Contini,30/06/2017,25/07/2017
SSC Napoli,Nikita Contini,30/06/2018,22/08/2018
SSC Napoli,Nikita Contini,30/06/2019,23/07/2019
SSC Napoli,Nikita Contini,31/08/2020,19/08/2021
SSC Napoli,Nikita Contini,30/06/2022,11/08/2022
SSC Napoli,Nikita Contini,12/01/2023,13/01/2023
SSC Napoli,Nikita Contini,30/06/2023,al presente
SSC Napoli,Claudio Turi,25/09/2024,al presente
Torino FC,Alessandro Buongiorno,01/07/2018,10/08/2018
Torino FC,Alessandro Buongiorno,30/06/2019,11/01/2020
Torino FC,Alessandro Buongiorno,31/08/2020,13/07/2024
SSC Napoli,Alessandro Buongiorno,13/07/2024,al presente
Hellas Verona,Amir Rrahmani,01/07/2019,20/01/2020
SSC Napoli,Amir Rrahmani,20/01/2020,20/01/2020
Hellas Verona,Amir Rrahmani,20/01/2020,31/08/2020
SSC Napoli,Amir Rrahmani,31/08/2020,al presente
SSC Napoli,Rafa Marin,10/07/2024,al presente
Inter,Juan Jesus,30/01/2012,14/07/2016
AS Roma,Juan Jesus,14/07/2016,30/06/2017
Inter,Juan Jesus,30/06/2017,01/07/2017
AS Roma,Juan Jesus,01/07/2017,18/08/2021
SSC Napoli,Juan Jesus,18/08/2021,al presente
SSC Napoli,Mathias Olivera,01/07/2022,al presente
Empoli FC,Leonardo Spinazzola,11/07/2012,27/01/2013
Juventus,Leonardo Spinazzola,27/01/2013,28/01/2013
Juventus,Leonardo Spinazzola,30/06/2013,01/07/2013
Juventus,Leonardo Spinazzola,01/07/2014,11/08/2014
Atalanta,Leonardo Spinazzola,11/08/2014,01/02/2015
Juventus,Leonardo Spinazzola,01/02/2015,02/02/2015
Juventus,Leonardo Spinazzola,30/06/2015,22/07/2015
Juventus,Leonardo Spinazzola,30/06/2016,07/07/2016
Atalanta,Leonardo Spinazzola,07/07/2016,30/06/2018
Juventus,Leonardo Spinazzola,30/06/2018,01/07/2019
AS Roma,Leonardo Spinazzola,01/07/2019,10/07/2024
SSC Napoli,Leonardo Spinazzola,10/07/2024,al presente
Empoli FC,Giovanni Di Lorenzo,30/08/2017,01/07/2019
SSC Napoli,Giovanni Di Lorenzo,01/07/2019,al presente
Parma Calcio 1913,Pasquale Mazzocchi,12/01/2016,09/07/2018
Venezia FC,Pasquale Mazzocchi,23/09/2020,25/01/2022
Venezia FC,Pasquale Mazzocchi,30/06/2022,01/07/2022
SSC Napoli,Pasquale Mazzocchi,05/01/2024,al presente
SSC Napoli,Stanislav Lobotka,15/01/2020,al presente
SSC Napoli,Billy Gilmour,30/08/2024,al presente
SSC Napoli,Scott Mctominay,30/08/2024,al presente
SSC Napoli,Frank Anguissa,31/08/2021,30/06/2022
SSC Napoli,Frank Anguissa,01/07/2022,al presente
SSC Napoli,Philip Billing,11/01/2025,30/06/2025
US Lecce,Luis Hasa,30/08/2024,08/01/2025
SSC Napoli,Luis Hasa,08/01/2025,al presente
AC Milan,Noah Okafor,22/07/2023,03/02/2025
SSC Napoli,Noah Okafor,03/02/2025,30/06/2025
AC Milan,Noah Okafor,30/06/2025,al presente
SSC Napoli,David Neres,21/08/2024,al presente
AS Roma,Matteo Politano,30/06/2013,01/07/2013
AS Roma,Matteo Politano,01/07/2015,02/07/2015
AS Roma,Matteo Politano,30/06/2016,01/07/2016
Inter,Matteo Politano,01/07/2018,30/06/2019
Inter,Matteo Politano,01/07/2019,28/01/2020
SSC Napoli,Matteo Politano,28/01/2020,30/06/2021
Inter,Matteo Politano,30/06/2021,01/07/2021
SSC Napoli,Matteo Politano,01/07/2021,al presente
Hellas Verona,Cyril Ngonge,19/01/2023,19/01/2024
SSC Napoli,Cyril Ngonge,19/01/2024,al presente
SSC Napoli,GiaComo 1907 Raspadori,20/08/2022,30/06/2023
SSC Napoli,GiaComo 1907 Raspadori,01/07/2023,al presente
Inter,Romelu Lukaku,08/08/2019,12/08/2021
Inter,Romelu Lukaku,01/07/2022,30/06/2023
AS Roma,Romelu Lukaku,30/08/2023,30/06/2024
SSC Napoli,Romelu Lukaku,29/08/2024,al presente
Genoa CFC,Giovanni Simeone,18/08/2016,16/08/2017
ACF Fiorentina,Giovanni Simeone,16/08/2017,30/08/2019
Cagliari Calcio,Giovanni Simeone,30/08/2019,31/08/2020
ACF Fiorentina,Giovanni Simeone,31/08/2020,01/09/2020
Cagliari Calcio,Giovanni Simeone,01/09/2020,26/08/2021
Hellas Verona,Giovanni Simeone,26/08/2021,30/06/2022
Cagliari Calcio,Giovanni Simeone,30/06/2022,01/07/2022
Hellas Verona,Giovanni Simeone,01/07/2022,18/08/2022
SSC Napoli,Giovanni Simeone,18/08/2022,30/06/2023
Hellas Verona,Giovanni Simeone,30/06/2023,01/07/2023
SSC Napoli,Giovanni Simeone,01/07/2023,al presente
Genoa CFC,Josep Martinez,01/07/2022,30/06/2023
Genoa CFC,Josep Martinez,01/07/2023,09/07/2024
Inter,Josep Martinez,09/07/2024,al presente
Inter,Yann Sommer,07/08/2023,al presente
Inter,Raffaele Di Gennaro,30/06/2014,11/07/2014
Inter,Raffaele Di Gennaro,30/06/2016,19/08/2016
Inter,Raffaele Di Gennaro,30/06/2017,12/07/2017
Inter,Raffaele Di Gennaro,30/06/2018,13/08/2019
Inter,Raffaele Di Gennaro,13/07/2023,al presente
Atalanta,Alessandro Bastoni,01/01/2017,31/08/2017
Inter,Alessandro Bastoni,31/08/2017,31/08/2017
Atalanta,Alessandro Bastoni,31/08/2017,30/06/2018
Inter,Alessandro Bastoni,30/06/2018,07/08/2018
Parma Calcio 1913,Alessandro Bastoni,07/08/2018,30/06/2019
Inter,Alessandro Bastoni,30/06/2019,al presente
Inter,Benjamin Pavard,30/08/2023,al presente
Inter,Yann Bisseck,12/07/2023,al presente
Lazio Roma,Stefan De Vrij,30/07/2014,01/07/2018
Inter,Stefan De Vrij,01/07/2018,al presente
Genoa CFC,Francesco Acerbi,01/06/2011,01/07/2011
AC Milan,Francesco Acerbi,01/07/2012,26/01/2013
Genoa CFC,Francesco Acerbi,26/01/2013,31/01/2013
Genoa CFC,Francesco Acerbi,30/06/2013,08/07/2013
Lazio Roma,Francesco Acerbi,11/07/2018,01/09/2022
Inter,Francesco Acerbi,01/09/2022,30/06/2023
Lazio Roma,Francesco Acerbi,30/06/2023,01/07/2023
Inter,Francesco Acerbi,01/07/2023,al presente
Inter,Federico Dimarco,01/07/2015,27/01/2016
