Opponent,M.,W,D,L,goals
AC Monza,9,7,0,1,21:8
ACF Fiorentina,174,78,46,50,271:210
AS Roma,198,86,59,52,286:224
Atalanta,138,60,46,31,222:143
Bologna FC,159,75,44,40,254:175
Cagliari Calcio,87,49,30,8,143:67
Como 1907,27,15,9,3,54:27
Empoli FC,36,23,10,3,65:22
Genoa CFC,115,58,36,21,179:108
Hellas Verona,70,36,24,10,115:70
Inter,210,65,63,81,268:292
Juventus,205,54,71,78,247:277
Lazio Roma,182,79,64,38,282:207
Parma Calcio 1913,67,32,18,16,101:73
SSC Napoli,162,61,51,49,224:182
Torino FC,177,73,61,43,270:178
Udinese Calcio,104,46,36,22,176:110
US Lecce,40,24,14,2,84:35
Venezia FC,30,18,7,4,53:23
