Opponent,M.,W,D,L,goals
AC Milan,9,1,0,7,8:21
ACF Fiorentina,7,2,2,3,10:12
AS Roma,7,1,2,4,5:15
Atalanta,11,1,0,10,7:27
Bologna FC,8,2,2,4,5:11
Cagliari Calcio,8,2,3,3,7:10
Como 1907,14,5,5,4,16:18
Empoli FC,15,4,3,8,12:21
Genoa CFC,16,4,3,9,15:29
Hellas Verona,12,5,2,5,18:15
Inter,9,1,2,6,8:17
Juventus,9,2,0,7,7:13
Lazio Roma,7,0,3,4,5:13
Parma Calcio 1913,5,0,3,2,5:8
SSC Napoli,12,2,4,6,9:17
Torino FC,17,0,5,12,16:33
Udinese Calcio,7,2,3,2,10:10
US Lecce,16,2,8,6,8:16
Venezia FC,12,4,1,7,16:23
