Opponent,M.,W,D,L,goals
AC Milan,174,50,46,78,210:271
AC Monza,7,3,2,2,12:10
AS Roma,185,56,64,65,231:241
Atalanta,137,61,41,35,204:136
Bologna FC,153,59,48,45,196:164
Cagliari Calcio,88,39,25,24,119:87
Como 1907,33,13,8,11,39:29
Empoli FC,35,16,11,7,49:31
Genoa CFC,112,49,41,22,183:133
Hellas Verona,74,36,21,17,110:78
Inter,184,49,55,80,234:289
Juventus,186,37,59,90,191:309
Lazio Roma,161,52,43,66,200:232
Parma Calcio 1913,65,21,27,17,83:72
SSC Napoli,166,57,45,63,205:202
Torino FC,157,53,53,51,196:192
Udinese Calcio,105,51,29,25,174:117
US Lecce,37,16,11,10,62:32
Venezia FC,39,17,7,15,57:48
