Opponent,M.,W,D,L,goals
AC Milan,198,52,59,86,224:286
AC Monza,7,4,2,1,15:5
ACF Fiorentina,185,65,64,56,241:231
Atalanta,133,56,42,34,198:157
Bologna FC,158,55,48,55,204:193
Cagliari Calcio,92,40,29,21,140:106
Como 1907,27,13,8,6,26:15
Empoli FC,38,26,6,6,72:32
Genoa CFC,120,59,27,34,186:122
Hellas Verona,73,38,21,13,108:67
Inter,207,58,57,91,263:334
Juventus,197,48,56,92,212:299
Lazio Roma,173,63,62,48,214:173
Parma Calcio 1913,59,37,11,11,106:50
SSC Napoli,168,59,57,52,214:192
Torino FC,171,73,45,53,249:222
Udinese Calcio,108,58,26,24,196:116
US Lecce,39,27,10,2,85:32
Venezia FC,28,15,7,6,48:32
