Opponent,M.,W,D,L,goals
AC Milan,138,31,46,60,143:222
AC Monza,11,10,0,1,27:7
ACF Fiorentina,137,35,41,61,136:204
AS Roma,133,34,42,56,157:198
Bologna FC,120,43,33,44,139:140
Cagliari Calcio,68,30,13,25,85:80
Como 1907,25,9,7,9,27:29
Empoli FC,32,15,11,6,42:24
Genoa CFC,91,33,28,30,115:100
Hellas Verona,59,28,16,15,87:56
Inter,136,25,35,76,122:243
Juventus,144,18,51,75,129:252
Lazio Roma,119,40,43,36,149:145
Parma Calcio 1913,48,17,15,16,62:55
SSC Napoli,120,34,33,52,134:165
Torino FC,129,34,44,51,148:193
Udinese Calcio,87,28,30,29,113:101
US Lecce,34,15,11,8,52:36
Venezia FC,32,16,8,7,41:26
