Opponent,M.,W,D,L,goals
AC Milan,159,40,44,75,175:254
AC Monza,8,4,2,2,11:5
ACF Fiorentina,153,45,48,59,164:196
AS Roma,158,55,48,55,193:204
Atalanta,120,44,33,43,140:139
Cagliari Calcio,70,26,22,22,84:76
Como 1907,20,6,6,8,24:28
Empoli FC,26,9,9,8,34:29
Genoa CFC,105,41,35,29,148:133
Hellas Verona,65,27,24,14,88:60
Inter,172,48,39,85,200:276
Juventus,166,25,56,84,146:252
Lazio Roma,146,52,38,56,204:204
Parma Calcio 1913,40,13,16,11,45:39
SSC Napoli,144,46,40,58,195:219
Torino FC,142,50,43,49,176:180
Udinese Calcio,84,27,26,30,104:104
US Lecce,36,18,14,4,52:30
Venezia FC,36,16,12,8,53:29
