Opponent,M.,W,D,L,goals
AC Milan,87,8,30,49,67:143
AC Monza,8,3,3,2,10:7
ACF Fiorentina,88,24,25,39,87:119
AS Roma,92,21,29,40,106:140
Atalanta,68,25,13,30,80:85
Bologna FC,70,22,22,26,76:84
Como 1907,20,6,6,8,22:26
Empoli FC,25,7,6,12,33:37
Genoa CFC,65,25,18,22,91:85
Hellas Verona,46,17,13,16,56:53
Inter,98,15,31,51,96:179
Juventus,93,14,30,49,74:139
Lazio Roma,78,18,17,43,73:119
Parma Calcio 1913,55,18,16,21,66:76
SSC Napoli,83,14,31,38,63:119
Torino FC,83,24,28,31,88:101
Udinese Calcio,61,14,18,29,69:100
US Lecce,26,8,9,9,31:34
Venezia FC,23,6,10,7,27:29
