Opponent,M.,W,D,L,goals
AC Milan,27,3,9,15,27:54
AC Monza,14,4,5,5,18:16
ACF Fiorentina,33,11,8,13,29:39
AS Roma,27,6,8,13,15:26
Atalanta,25,9,7,9,29:27
Bologna FC,20,8,6,6,28:24
Cagliari Calcio,20,8,6,6,26:22
Empoli FC,13,5,5,3,12:10
Genoa CFC,14,4,5,5,17:20
Hellas Verona,21,5,9,7,16:21
Inter,29,6,4,19,28:57
Juventus,29,3,11,15,20:41
Lazio Roma,18,5,4,9,22:34
Parma Calcio 1913,11,2,4,5,13:16
SSC Napoli,30,5,5,20,23:60
Torino FC,32,6,9,17,26:46
Udinese Calcio,22,5,6,10,25:29
US Lecce,13,6,4,3,18:10
Venezia FC,17,6,7,4,22:21
