Opponent,M.,W,D,L,goals
AC Milan,36,3,10,23,22:65
AC Monza,15,8,3,4,21:12
ACF Fiorentina,35,7,11,16,31:49
AS Roma,38,6,6,26,32:72
Atalanta,32,6,11,15,24:42
Bologna FC,26,8,9,9,29:34
Cagliari Calcio,25,12,6,7,37:33
Como 1907,13,3,5,5,10:12
Genoa CFC,32,8,14,10,31:39
Hellas Verona,22,8,7,7,22:20
Inter,41,4,3,34,28:85
Juventus,35,5,5,24,26:72
Lazio Roma,32,4,7,21,27:62
Parma Calcio 1913,26,8,5,13,31:39
SSC Napoli,29,10,6,13,37:46
Torino FC,42,15,15,12,44:41
Udinese Calcio,33,7,12,14,29:45
US Lecce,22,5,10,6,25:25
Venezia FC,21,4,9,8,29:32
