Opponent,M.,W,D,L,goals
AC Milan,115,21,36,58,108:179
AC Monza,16,9,3,4,29:15
ACF Fiorentina,112,22,41,49,133:183
AS Roma,120,34,27,59,122:186
Atalanta,91,30,28,33,100:115
Bologna FC,105,29,35,41,133:148
Cagliari Calcio,65,22,18,25,85:91
Como 1907,14,5,5,4,20:17
Empoli FC,32,10,14,8,39:31
Hellas Verona,51,18,19,14,85:65
Inter,121,24,32,65,122:221
Juventus,124,23,25,76,129:254
Lazio Roma,113,41,27,45,156:176
Parma Calcio 1913,38,11,10,17,39:57
SSC Napoli,118,28,43,45,137:170
Torino FC,121,35,38,48,161:188
Udinese Calcio,61,20,20,21,82:93
US Lecce,29,14,7,7,44:26
Venezia FC,40,20,11,9,58:40
