Opponent,M.,W,D,L,goals
AC Milan,70,10,24,36,70:115
AC Monza,12,5,2,5,15:18
ACF Fiorentina,74,17,21,36,78:110
AS Roma,73,13,21,38,67:108
Atalanta,59,15,16,28,56:87
Bologna FC,65,14,24,27,60:88
Cagliari Calcio,46,16,13,17,53:56
Como 1907,21,7,9,5,21:16
Empoli FC,22,7,7,8,20:22
Genoa CFC,51,14,19,18,65:85
Inter,71,5,22,44,43:129
Juventus,78,13,19,46,65:136
Lazio Roma,60,14,20,26,71:102
Parma Calcio 1913,21,11,4,6,31:28
SSC Napoli,78,15,21,42,62:134
Torino FC,79,16,30,33,78:97
Udinese Calcio,44,14,16,14,56:62
US Lecce,32,11,10,11,39:30
Venezia FC,25,13,7,5,34:28
