Opponent,M.,W,D,L,goals
AC Milan,210,81,63,65,292:268
AC Monza,9,6,2,1,17:8
ACF Fiorentina,184,80,55,49,289:234
AS Roma,207,91,57,58,334:263
Atalanta,136,76,35,25,243:122
Bologna FC,172,85,39,48,276:200
Cagliari Calcio,98,51,31,15,179:96
Como 1907,29,19,4,6,57:28
Empoli FC,41,34,3,4,85:28
Genoa CFC,121,65,32,24,221:122
Hellas Verona,71,44,22,5,129:43
Juventus,209,58,56,93,248:292
Lazio Roma,184,77,62,45,298:204
Parma Calcio 1913,66,28,19,19,95:82
SSC Napoli,172,75,46,51,245:188
Torino FC,170,79,52,39,249:166
Udinese Calcio,116,60,32,24,191:115
US Lecce,40,31,5,4,95:21
Venezia FC,33,21,6,6,70:32
