Opponent,M.,W,D,L,goals
AC Milan,205,78,71,54,277:247
AC Monza,9,7,0,2,13:7
ACF Fiorentina,186,90,59,37,309:191
AS Roma,197,92,56,48,299:212
Atalanta,144,75,51,18,252:129
Bologna FC,166,84,56,25,252:146
Cagliari Calcio,93,49,30,14,139:74
Como 1907,29,15,11,3,41:20
Empoli FC,35,24,5,5,72:26
Genoa CFC,124,76,25,23,254:129
Hellas Verona,78,46,19,13,136:65
Inter,209,93,56,58,292:248
Lazio Roma,190,99,43,47,327:209
Parma Calcio 1913,68,35,19,14,114:65
SSC Napoli,179,80,54,43,265:203
Torino FC,170,83,49,37,262:166
Udinese Calcio,107,72,21,14,219:81
US Lecce,44,31,9,4,90:32
Venezia FC,35,20,12,3,73:36
