Opponent,M.,W,D,L,goals
AC Milan,182,38,64,79,207:282
AC Monza,7,4,3,0,13:5
ACF Fiorentina,161,66,43,52,232:200
AS Roma,173,48,62,63,173:214
Atalanta,119,36,43,40,145:149
Bologna FC,146,56,38,52,204:204
Cagliari Calcio,78,43,17,18,119:73
Como 1907,18,9,4,5,34:22
Empoli FC,32,21,7,4,62:27
Genoa CFC,113,45,27,41,176:156
Hellas Verona,60,26,20,14,102:71
Inter,184,45,62,77,204:298
Juventus,190,47,43,99,209:327
Parma Calcio 1913,60,29,16,15,85:60
SSC Napoli,156,47,49,59,180:209
Torino FC,146,43,61,42,184:174
Udinese Calcio,98,46,24,28,153:122
US Lecce,36,20,7,9,63:39
Venezia FC,28,15,6,7,45:28
