Opponent,M.,W,D,L,goals
AC Milan,67,16,18,32,73:101
AC Monza,5,2,3,0,8:5
ACF Fiorentina,65,17,27,21,72:83
AS Roma,59,11,11,37,50:106
Atalanta,48,16,15,17,55:62
Bologna FC,40,11,16,13,39:45
Cagliari Calcio,55,21,16,18,76:66
Como 1907,11,5,4,2,16:13
Empoli FC,26,13,5,8,39:31
Genoa CFC,38,17,10,11,57:39
Hellas Verona,21,6,4,11,28:31
Inter,66,19,19,28,82:95
Juventus,68,14,19,35,65:114
Lazio Roma,60,15,16,29,60:85
SSC Napoli,42,15,8,19,54:61
Torino FC,36,15,14,7,52:35
Udinese Calcio,56,23,13,20,83:76
US Lecce,34,17,12,5,55:38
Venezia FC,25,13,8,4,47:30
