Equipo1,Equipo2,Partidos,Ganados,Empatados,Perdidos,Goles
AC Milan,AC Monza,9,7,0,1,21:8
AC Milan,ACF Fiorentina,174,78,46,50,271:210
AC Milan,AS Roma,198,86,59,52,286:224
AC Milan,Atalanta,138,60,46,31,222:143
AC Milan,Bologna FC,159,75,44,40,254:175
AC Milan,Cagliari Calcio,87,49,30,8,143:67
AC Milan,Como 1907,27,15,9,3,54:27
AC Milan,Empoli FC,36,23,10,3,65:22
AC Milan,Genoa CFC,115,58,36,21,179:108
AC Milan,Hellas Verona,70,36,24,10,115:70
AC Milan,Inter,210,65,63,81,268:292
AC Milan,Juventus,205,54,71,78,247:277
AC Milan,Lazio Roma,182,79,64,38,282:207
AC Milan,Parma Calcio 1913,67,32,18,16,101:73
AC Milan,SSC Napoli,162,61,51,49,224:182
AC Milan,Torino FC,177,73,61,43,270:178
AC Milan,Udinese Calcio,104,46,36,22,176:110
AC Milan,US Lecce,40,24,14,2,84:35
AC Milan,Venezia FC,30,18,7,4,53:23
Parma Calcio 1913,AC Milan,67,16,18,32,73:101
Parma Calcio 1913,AC Monza,5,2,3,0,8:5
Parma Calcio 1913,ACF Fiorentina,65,17,27,21,72:83
Parma Calcio 1913,AS Roma,59,11,11,37,50:106
Parma Calcio 1913,Atalanta,48,16,15,17,55:62
Parma Calcio 1913,Bologna FC,40,11,16,13,39:45
Parma Calcio 1913,Cagliari Calcio,55,21,16,18,76:66
Parma Calcio 1913,Como 1907,11,5,4,2,16:13
Parma Calcio 1913,Empoli FC,26,13,5,8,39:31
Parma Calcio 1913,Genoa CFC,38,17,10,11,57:39
Parma Calcio 1913,Hellas Verona,21,6,4,11,28:31
Parma Calcio 1913,Inter,66,19,19,28,82:95
Parma Calcio 1913,Juventus,68,14,19,35,65:114
Parma Calcio 1913,Lazio Roma,60,15,16,29,60:85
Parma Calcio 1913,SSC Napoli,42,15,8,19,54:61
Parma Calcio 1913,Torino FC,36,15,14,7,52:35
Parma Calcio 1913,Udinese Calcio,56,23,13,20,83:76
Parma Calcio 1913,US Lecce,34,17,12,5,55:38
Parma Calcio 1913,Venezia FC,25,13,8,4,47:30
Lazio Roma,AC Milan,182,38,64,79,207:282
Lazio Roma,AC Monza,7,4,3,0,13:5
Lazio Roma,ACF Fiorentina,161,66,43,52,232:200
Lazio Roma,AS Roma,173,48,62,63,173:214
Lazio Roma,Atalanta,119,36,43,40,145:149
Lazio Roma,Bologna FC,146,56,38,52,204:204
Lazio Roma,Cagliari Calcio,78,43,17,18,119:73
Lazio Roma,Como 1907,18,9,4,5,34:22
Lazio Roma,Empoli FC,32,21,7,4,62:27
Lazio Roma,Genoa CFC,113,45,27,41,176:156
Lazio Roma,Hellas Verona,60,26,20,14,102:71
