Opponent,M.,W,D,L,goals
AC Milan,162,49,51,61,182:224
AC Monza,12,6,4,2,17:9
ACF Fiorentina,166,63,45,57,202:205
AS Roma,168,52,57,59,192:214
Atalanta,120,52,33,34,165:134
Bologna FC,144,58,40,46,219:195
Cagliari Calcio,83,38,31,14,119:63
Como 1907,30,20,5,5,60:23
Empoli FC,29,13,6,10,46:37
Genoa CFC,118,45,43,28,170:137
Hellas Verona,78,42,21,15,134:62
Inter,172,51,46,75,188:245
Juventus,179,43,54,80,203:265
Lazio Roma,156,59,49,47,209:180
Parma Calcio 1913,42,19,8,15,61:54
Torino FC,150,54,59,37,191:162
Udinese Calcio,89,39,33,17,145:111
US Lecce,36,15,14,7,54:36
Venezia FC,22,8,11,3,28:18
