Opponent,M.,W,D,L,goals
AC Milan,177,43,61,73,178:270
AC Monza,17,12,5,0,33:16
ACF Fiorentina,157,51,53,53,192:196
AS Roma,171,53,45,73,222:249
Atalanta,129,51,44,34,193:148
Bologna FC,142,49,43,50,180:176
Cagliari Calcio,83,31,28,24,101:88
Como 1907,32,17,9,6,46:26
Empoli FC,42,12,15,15,41:44
Genoa CFC,121,48,38,35,188:161
Hellas Verona,79,33,30,16,97:78
Inter,170,39,52,79,166:249
Juventus,170,37,49,83,166:262
Lazio Roma,146,42,61,43,174:184
Parma Calcio 1913,36,7,14,15,35:52
SSC Napoli,150,37,59,54,162:191
Udinese Calcio,81,31,24,26,96:88
US Lecce,30,13,9,8,47:34
Venezia FC,38,13,14,11,47:40
