Opponent,M.,W,D,L,goals
AC Milan,104,22,36,46,110:176
AC Monza,7,2,3,2,10:10
ACF Fiorentina,105,25,29,51,117:174
AS Roma,108,24,26,58,116:196
Atalanta,87,29,30,28,101:113
Bologna FC,84,30,26,27,104:104
Cagliari Calcio,61,29,18,14,100:69
Como 1907,22,10,6,5,29:25
Empoli FC,33,14,12,7,45:29
Genoa CFC,61,21,20,20,93:82
Hellas Verona,44,14,16,14,62:56
Inter,116,24,32,60,115:191
Juventus,107,14,21,72,81:219
Lazio Roma,98,28,24,46,122:153
Parma Calcio 1913,56,20,13,23,76:83
SSC Napoli,89,17,33,39,111:145
Torino FC,81,26,24,31,88:96
US Lecce,42,25,4,13,74:49
Venezia FC,17,8,3,6,28:21
