Opponent,M.,W,D,L,goals
AC Milan,40,2,14,24,35:84
AC Monza,16,6,8,2,16:8
ACF Fiorentina,37,10,11,16,32:62
AS Roma,39,2,10,27,32:85
Atalanta,34,8,11,15,36:52
Bologna FC,36,4,14,18,30:52
Cagliari Calcio,26,9,9,8,34:31
Como 1907,13,3,4,6,10:18
Empoli FC,22,6,10,5,25:25
Genoa CFC,29,7,7,14,26:44
Hellas Verona,32,11,10,11,30:39
Inter,40,4,5,31,21:95
Juventus,44,4,9,31,32:90
Lazio Roma,36,9,7,20,39:63
Parma Calcio 1913,34,5,12,17,38:55
SSC Napoli,36,7,14,15,36:54
Torino FC,30,8,9,13,34:47
Udinese Calcio,42,13,4,25,49:74
Venezia FC,18,7,9,2,26:20
