Opponent,M.,W,D,L,goals
AC Milan,30,4,7,18,23:53
AC Monza,12,7,1,4,23:16
ACF Fiorentina,39,15,7,17,48:57
AS Roma,28,6,7,15,32:48
Atalanta,32,7,8,16,26:41
Bologna FC,36,8,12,16,29:53
Cagliari Calcio,23,7,10,6,29:27
Como 1907,17,4,7,6,21:22
Empoli FC,21,8,9,4,32:29
Genoa CFC,40,9,11,20,40:58
Hellas Verona,25,5,7,13,28:34
Inter,33,6,6,21,32:70
Juventus,35,3,12,20,36:73
Lazio Roma,28,7,6,15,28:45
Parma Calcio 1913,25,4,8,13,30:47
SSC Napoli,22,3,11,8,18:28
Torino FC,38,11,14,13,40:47
Udinese Calcio,17,6,3,8,21:28
US Lecce,18,2,9,7,20:26
